Prediction,Actual,Explanation
Approved,Approved,"This application was approved due to Employment Duration (Days), Housing Type, -0.77, Marital Status, Work Phone, -0.15, Number of Children, -0.81, Family Size, Annual Income."
Approved,Approved,"This application was approved due to Employment Duration (Days), -0.77, Housing Type, Marital Status, -0.15, Number of Children, Work Phone, -0.81, Annual Income, Family Size."
Approved,Approved,"This application was approved due to -0.77, Marital Status, -0.15, Number of Children, -0.81, Age (Days), Annual Income, -1.05."
Approved,Approved,"This application was approved due to Email, -0.15, Number of Children, -0.64, Annual Income, -1.05."
Denied,Approved,"This application was denied due to -1.62, Email, Housing Type, Income Category, Employment Duration (Days), Marital Status, Work Phone, Car Ownership, Phone, Education Level, Family Size."
Approved,Approved,"This application was approved due to Email, Number of Children, -0.15, -1.05, -0.64, Annual Income."
Approved,Approved,"This application was approved due to Email, Number of Children, -0.15, -0.64, -1.05, Annual Income."
Approved,Approved,"This application was approved due to Email, -0.15, Number of Children, -0.64, Annual Income, -1.05, Family Size."
Denied,Approved,"This application was denied due to -1.62, Email, Income Category, Housing Type, Employment Duration (Days), Marital Status, Work Phone, Car Ownership, Phone, Education Level, Family Size."
Denied,Approved,"This application was denied due to -1.62, Email, Housing Type, Employment Duration (Days), Income Category, Marital Status, Work Phone, Car Ownership, Phone, Education Level, Family Size."
Denied,Denied,"This application was denied due to -1.62, Housing Type, Education Level, Occupation, -0.15."
Denied,Approved,"This application was denied due to -1.62, Housing Type, Occupation, -0.15, Family Size, Education Level."
Denied,Denied,"This application was denied due to -1.62, Housing Type, Education Level, Occupation, -0.15, Annual Income."
Approved,Approved,"This application was approved due to Marital Status, Number of Children, -0.81, -0.61, -0.77, -1.05, Family Size."
Approved,Approved,"This application was approved due to Marital Status, Number of Children, -0.81, -1.05, -0.77, -0.61."
Approved,Approved,"This application was approved due to Marital Status, Number of Children, -0.81, -1.05, -0.61, -0.77."
Approved,Approved,"This application was approved due to Number of Children, Marital Status, -0.81, -0.61, -1.05, Family Size, -0.77."
Approved,Approved,"This application was approved due to Marital Status, Number of Children, -0.81, -0.61, -1.05."
Approved,Approved,"This application was approved due to Marital Status, Number of Children, -0.81, -0.61, -1.05, -0.77."
Approved,Approved,"This application was approved due to Property Ownership, -0.77, Marital Status, Number of Children, -0.81, -0.61, Family Size."
Approved,Approved,"This application was approved due to Property Ownership, -0.77, Marital Status, Number of Children, -0.81, -0.61, Family Size."
Denied,Approved,"This application was denied due to -1.62, Email, Housing Type, -0.82, Work Phone, Car Ownership, Age (Days), Family Size."
Denied,Approved,"This application was denied due to Email, -1.62, Marital Status, Housing Type, Car Ownership, Work Phone, -0.57, -0.27, Phone, Age (Days), Family Size."
Denied,Approved,"This application was denied due to -1.62, Email, Housing Type, Work Phone, -0.82, Car Ownership, Age (Days)."
Denied,Approved,"This application was denied due to -1.62, Email, Housing Type, Work Phone, -0.82, Car Ownership, Age (Days)."
Denied,Denied,"This application was denied due to -1.62, Email, Housing Type, Marital Status, -0.57, -0.27, Work Phone, Phone, Car Ownership, Age (Days), Family Size."
Denied,Approved,"This application was denied due to -1.62, Housing Type, Email, Marital Status, Work Phone, -0.57, Car Ownership, -0.27, Phone, Age (Days)."
Denied,Approved,"This application was denied due to -1.62, Email, Housing Type, Work Phone, -0.82, Number of Children, Phone, Age (Days)."
Denied,Approved,"This application was denied due to -1.62, Email, Housing Type, Work Phone, -0.82, Number of Children, Age (Days), Phone."
Approved,Approved,"This application was approved due to Marital Status, Annual Income."
Approved,Approved,"This application was approved due to Marital Status, Annual Income."
Approved,Approved,"This application was approved due to Marital Status, Annual Income."
Approved,Approved,This application was approved due to Marital Status.
Approved,Approved,"This application was approved due to Marital Status, Annual Income."
Approved,Approved,"This application was approved due to Marital Status, Annual Income."
Approved,Approved,"This application was approved due to Employment Duration (Days), Marital Status, Number of Children, -0.81, Annual Income, Age (Days), -0.64, -1.05."
Approved,Approved,"This application was approved due to Employment Duration (Days), Marital Status, Number of Children, -0.81, Age (Days), Annual Income, -0.64, -1.05."
Approved,Approved,"This application was approved due to Employment Duration (Days), Marital Status, Number of Children, Age (Days), -0.81, Annual Income, -0.64, -1.05."
Approved,Approved,"This application was approved due to Employment Duration (Days), Marital Status, Number of Children, Annual Income, Age (Days), -0.81, -0.64, -1.05."
Approved,Approved,"This application was approved due to Employment Duration (Days), Marital Status, Number of Children, Age (Days), Annual Income, -0.81, -1.05, -0.64."
Approved,Approved,"This application was approved due to Employment Duration (Days), Marital Status, Number of Children, -0.81, Annual Income, Age (Days), -0.64, -1.05."
Approved,Approved,"This application was approved due to Employment Duration (Days), Marital Status, Number of Children, Age (Days), -0.81, Annual Income, -0.64, -1.05, Family Size."
Approved,Approved,"This application was approved due to Employment Duration (Days), Marital Status, Number of Children, -0.81, Age (Days), Annual Income, -0.64, -1.05, Family Size."
Approved,Denied,"This application was approved due to Employment Duration (Days), Marital Status, Number of Children, Annual Income, Age (Days), -0.81, -0.64, -1.05."
Approved,Denied,"This application was approved due to Employment Duration (Days), Marital Status, Number of Children, Age (Days), -0.81, Annual Income, -0.64, -1.05."
Approved,Denied,"This application was approved due to Employment Duration (Days), Marital Status, Number of Children, -0.81, Age (Days), Annual Income, -1.05, -0.64, Family Size."
Approved,Approved,"This application was approved due to -0.77, Marital Status, -0.81, -1.05, Family Size, -0.61."
Approved,Approved,"This application was approved due to -0.77, Marital Status, -0.81, -1.05, Family Size, -0.61."
Approved,Approved,"This application was approved due to -0.77, Marital Status, -0.81, Family Size, -1.05, -0.61."
Approved,Approved,"This application was approved due to -0.77, Marital Status, -0.81, -0.61, -1.05, Family Size."
Approved,Approved,"This application was approved due to -0.77, Marital Status, -0.81, -1.05, Family Size, -0.61."
Approved,Approved,"This application was approved due to -0.77, Marital Status, Family Size, -0.81, -1.05, -0.61."
Approved,Approved,"This application was approved due to -0.77, Marital Status, Family Size, -0.81, -1.05, -0.61."
Approved,Approved,"This application was approved due to -0.77, Marital Status, -0.81, -0.61, -1.05, Family Size."
Approved,Approved,"This application was approved due to -0.77, Marital Status, -0.81, -0.61, -1.05, Family Size."
Approved,Approved,"This application was approved due to -0.77, Marital Status, -0.81, -1.05, Family Size, -0.61."
Approved,Approved,"This application was approved due to -0.77, Marital Status, -0.81, -1.05, Family Size, -0.61."
Approved,Approved,"This application was approved due to -0.77, Marital Status, -0.81, Family Size, -1.05."
Approved,Approved,"This application was approved due to -0.77, Marital Status, -0.81, -1.05, Family Size, -0.61."
Approved,Approved,"This application was approved due to -0.77, Marital Status, -0.81, Family Size, -1.05, -0.61."
Approved,Denied,"This application was approved due to -0.77, Marital Status, -0.81, Family Size, -1.05, -0.61."
