Car Ownership,Property Ownership,Number of Children,Annual Income,Income Category,Education Level,Marital Status,Housing Type,Age (Days),Employment Duration (Days),Work Phone,Phone,Email,Occupation,Family Size,Approved,Prediction,Actual,Explanation,Reason
1,1,0,427500.0,4,1,0,4,32,4542.0,1.0,0.0,0.0,18,2.0,1,Approved,Approved,"This application was approved due to Employment Duration (Days), -0.77, Housing Type, Marital Status, Work Phone, Number of Children, -0.15, -0.81, Family Size.","This application was approved due to Employment Duration (Days), -0.77, Housing Type, Marital Status, Work Phone, Number of Children, -0.15, -0.81, Family Size."
1,1,0,427500.0,4,1,0,4,32,4542.0,1.0,0.0,0.0,18,2.0,1,Approved,Approved,"This application was approved due to Employment Duration (Days), -0.77, Housing Type, Marital Status, Work Phone, Number of Children, -0.15, -0.81, Annual Income.","This application was approved due to Employment Duration (Days), -0.77, Housing Type, Marital Status, Work Phone, Number of Children, -0.15, -0.81, Annual Income."
1,1,0,112500.0,4,5,1,1,58,1134.0,0.0,0.0,0.0,16,2.0,1,Approved,Approved,"This application was approved due to -0.77, Marital Status, -0.15, Number of Children, Age (Days), -0.81, Annual Income, -1.05.","This application was approved due to -0.77, Marital Status, -0.15, Number of Children, Age (Days), -0.81, Annual Income, -1.05."
0,1,0,270000.0,0,5,3,1,52,3051.0,0.0,1.0,1.0,14,1.0,1,Approved,Approved,"This application was approved due to Email, Number of Children, -0.15, -0.64, -1.05.","This application was approved due to Email, Number of Children, -0.15, -0.64, -1.05."
0,1,0,270000.0,0,5,3,1,52,3051.0,0.0,1.0,1.0,14,1.0,1,Approved,Approved,"This application was approved due to Email, Number of Children, -0.15, -1.05, -0.64, Annual Income, Family Size.","This application was approved due to Email, Number of Children, -0.15, -1.05, -0.64, Annual Income, Family Size."
0,1,0,270000.0,0,5,3,1,52,3051.0,0.0,1.0,1.0,14,1.0,1,Approved,Approved,"This application was approved due to Email, -0.15, Number of Children, -0.64, -1.05, Annual Income.","This application was approved due to Email, -0.15, Number of Children, -0.64, -1.05, Annual Income."
0,1,0,270000.0,0,5,3,1,52,3051.0,0.0,1.0,1.0,14,1.0,1,Approved,Approved,"This application was approved due to Email, Number of Children, -0.15, -0.64, Family Size, -1.05.","This application was approved due to Email, Number of Children, -0.15, -0.64, Family Size, -1.05."
0,1,0,283500.0,1,1,2,1,61,0.0,0.0,0.0,0.0,18,1.0,1,Denied,Approved,"This application was denied due to Email, -1.62, Housing Type, Income Category, Employment Duration (Days), Marital Status, Work Phone, Car Ownership, Education Level, Phone, Family Size.","This application was denied due to Email, -1.62, Housing Type, Income Category, Employment Duration (Days), Marital Status, Work Phone, Car Ownership, Education Level, Phone, Family Size."
0,1,0,283500.0,1,1,2,1,61,0.0,0.0,0.0,0.0,18,1.0,1,Denied,Approved,"This application was denied due to -1.62, Email, Income Category, Employment Duration (Days), Housing Type, Marital Status, Work Phone, Car Ownership, Phone, Education Level, Family Size.","This application was denied due to -1.62, Email, Income Category, Employment Duration (Days), Housing Type, Marital Status, Work Phone, Car Ownership, Phone, Education Level, Family Size."
0,1,0,283500.0,1,1,2,1,61,0.0,0.0,0.0,0.0,18,1.0,1,Denied,Approved,"This application was denied due to -1.62, Income Category, Employment Duration (Days), Email, Housing Type, Marital Status, Work Phone, Car Ownership, Education Level, Phone.","This application was denied due to -1.62, Income Category, Employment Duration (Days), Email, Housing Type, Marital Status, Work Phone, Car Ownership, Education Level, Phone."
